Cell type,Track displacement_Mean,Track displacement_Median,Track displacement_STD,Track duration_Mean,Track duration_Median,Track duration_STD,Mean Directionality Change Rate_Mean,Mean Directionality Change Rate_Median,Mean Directionality Change Rate_STD,Total Distance Travelled_Mean,Total Distance Travelled_Median,Total Distance Travelled_STD,Max Distance Travelled_Mean,Max Distance Travelled_Median,Max Distance Travelled_STD,Mean Track Speed_Mean,Mean Track Speed_Median,Mean Track Speed_STD,Minimum Track Speed_Mean,Minimum Track Speed_Median,Minimum Track Speed_STD,Maximum Track Speed_Mean,Maximum Track Speed_Median,Maximum Track Speed_STD,Median Track Speed_Mean,Median Track Speed_Median,Median Track Speed_STD,Instant Mean Square Displacement_Mean,Instant Mean Square Displacement_Median,Instant Mean Square Displacement_STD,Instant Diffusion Coefficient_Mean,Instant Diffusion Coefficient_Median,Instant Diffusion Coefficient_STD,Confinement Ratio_Mean,Confinement Ratio_Median,Confinement Ratio_STD,Mean Straight Line Speed_Mean,Mean Straight Line Speed_Median,Mean Straight Line Speed_STD,Linearity of Forward Progression_Mean,Linearity of Forward Progression_Median,Linearity of Forward Progression_STD,Density,Tau
2,0.353238003221728,0.353238003221728,0.0432170818063189,0.225,0.225,0.0353553390593274,1.09301762381279,1.09301762381279,0.62944326078904,0.400601374952037,0.400601374952037,0.0928889833285211,0.36877689818391,0.36877689818391,0.0651923978061265,2.28210599554595,2.28210599554595,0.069739154780973,0.541968638235955,0.541968638235955,0.452720653756091,6.30734836044632,6.30734836044632,2.56570561833419,0.917147224472846,0.917147224472846,0.602484213185894,0.0302644829166671,0.0302644829166671,0.0160064786316164,0.151322414583336,0.151322414583336,0.0800323931580822,0.893275687319624,0.893275687319624,0.0992467602629848,1.57429146869361,1.57429146869361,0.0553001193224447,0.69053420624289,0.69053420624289,0.0453341744051742,0.07621424632513,NaN
2,0.395847386946822,0.341230131252158,0.259689543148892,0.380833333333333,0.3,0.218876364062221,1.3175889205442,1.37972940972755,0.388979741524203,1.02936614284308,0.847648515873337,0.722209252689972,0.461531597910387,0.401849051990616,0.252243958637655,3.13606717915182,3.01080217790452,1.04163927370104,1.2722778223258,1.14972956857771,0.888548420334305,5.63864702031736,5.65612014744377,1.94764249137719,2.89754397326132,2.70950805090277,1.11739634868849,0.0341508304224753,0.0300816830833334,0.0206912531966861,0.170754152112377,0.150408415416667,0.10345626598343,0.449199313120952,0.463081614876212,0.234192877005845,1.15010149651277,0.977693264097252,0.71428650307251,0.368887310965357,0.37151581849569,0.180853254206247,2.59123931785884,NaN
2,0.327432327864564,0.277754492975853,0.226895548442427,0.371621621621621,0.25,0.285162621034678,1.2086290384592,1.21654964976378,0.399482996181583,0.911780353768062,0.724119321749171,0.687131346922655,0.410275476414689,0.371238779975245,0.211320185604424,3.1538967347537,2.82773996897363,1.4037371194305,1.36647918474853,1.14378392978758,1.09402203183719,5.67056092543143,5.60578258976168,2.25218969125802,2.89129767719433,2.34811667042775,1.58056740860714,0.037368349587904,0.0285747799999994,0.0291603993779711,0.18684174793952,0.142873899999997,0.145801996889856,0.439047377781144,0.41723885189577,0.275532942918713,1.10939773680521,0.945882697111817,0.846548562680765,0.35374980382495,0.342178226974956,0.2140992671789,2.27900517605192,0.120680834508832
2,0.397238661763406,0.326793883172527,0.26997608485112,0.531521739130435,0.4,0.438096729000974,1.29324500268407,1.29666716824277,0.366722052161123,1.18829593095803,0.93240601711454,0.978522675124431,0.467655490992783,0.408148866664538,0.252566056056529,2.6977865258897,2.71487401288121,0.969400578116066,0.838954721122677,0.643191286586414,0.701907320436007,5.63299969962593,5.63542415027973,1.94607336657774,2.19059046209873,2.03647669567132,1.35136765875476,0.0292850911449999,0.0243380564285711,0.0205484558293437,0.146425455724999,0.121690282142856,0.102742279146718,0.436161758966145,0.387151914698716,0.274118186287593,0.9580178248282,0.82374588144118,0.672853532516135,0.365194857163706,0.345709400242638,0.215298544882866,1.23907165734562,NaN
2,0.258317475582816,0.155005354746215,0.254472824595197,0.520114942528736,0.3,0.420233861394458,1.19516265220775,1.26574844779165,0.452099771391426,0.94221041430756,0.633332257241059,0.810647888523068,0.335310361828729,0.23296130579991,0.249057990790204,2.12652616675544,1.94252568093354,0.643412871713611,0.774235314745096,0.737563556583423,0.556267502300436,4.16766210613714,3.75902966202705,1.73964196232472,1.95496407011557,1.86773882412836,0.718689481669801,0.0162159474923812,0.0123329735000002,0.0105756651391476,0.0810797374619062,0.0616648675000009,0.0528783256957378,0.317964785407911,0.267963697625865,0.236918656282128,0.586914545979,0.459990489032102,0.512866615438112,0.265497512384052,0.236887609104995,0.192895186358955,1.49470082171435,0.141595041857386
2,0.353637638287973,0.295485837224051,0.281019422199452,0.377149321266968,0.3,0.280438812580944,1.14261439344955,1.19591610037878,0.386995890383152,1.01663580944266,0.832436237943077,0.730499388304,0.421792618453354,0.362332457833959,0.261306955001168,3.39579087830199,3.10402527241756,1.40080412283164,1.41959955565624,1.12993097134308,1.11577665460048,6.03270144598317,5.97924476836326,2.13220398911419,3.17346819483061,2.79302703173466,1.58218606344466,0.0419898097404594,0.0301619442857131,0.0310680838778528,0.209949048702297,0.150809721428565,0.155340419389264,0.405737368712295,0.349164697008633,0.256234012848649,1.14961140213639,0.885788663031748,0.934052412232676,0.328679041165267,0.296122438800522,0.198110016677189,3.21344535781903,0.147743242797843
2,0.438044848093121,0.356455048112489,0.317520723862095,0.382058823529412,0.3,0.264662109154817,1.21245758295042,1.2124926123067,0.424850745918996,1.07986078876781,0.808595769018273,0.728659401960321,0.512517211631119,0.426456267520422,0.304677092816445,3.52024054879685,3.41607736168779,1.3633551330459,1.39288199227891,1.19748380771278,1.04429429666363,6.25702918824232,6.39457570549725,2.03513196497551,3.34259737072576,3.07554130064879,1.70582692264457,0.0445380332728582,0.0371859283333336,0.0303111735631153,0.222690166364291,0.185929641666668,0.151555867815576,0.449955494762708,0.435681831811693,0.24231776057803,1.3115501091905,1.22869314636155,0.871198205453305,0.369292092454343,0.372172379333707,0.191638080578112,1.35842598637588,0.138908467236328
2,0.448079691586304,0.36456309467636,0.364217764514225,0.732835820895522,0.4,0.933085149854632,1.35074906105547,1.3955161823532,0.386827616555774,1.45402062710719,0.93431460703654,1.45192436049253,0.531836274869834,0.417120222477882,0.352689219815379,2.73206014032688,2.71252231002533,1.12145966028639,0.86809992741106,0.536730845023798,0.880248661268902,5.71316211649646,5.6452617299821,1.89428304280146,2.36763421329306,2.31167644794853,1.32184080203137,0.0291479547893326,0.0242574099999989,0.0213220174423654,0.145739773946663,0.121287049999994,0.106610087211827,0.384375545428427,0.310803679404634,0.266529862824842,0.898586217597866,0.638747207478614,0.778536577242872,0.323987122144609,0.288127118551711,0.202951538071316,2.15424330628375,0.241024176943426
2,0.467773696085112,0.365568381391013,0.393230015752593,0.533040201005025,0.35,0.450602790663924,1.35030593100061,1.39197204956902,0.372162877385817,1.49253464520824,1.0353221042642,1.32474461426124,0.571238530919083,0.469071971878879,0.398060305949659,3.30729153204707,3.12286960146834,1.21665361847823,1.27718431168765,1.01716785814805,1.04702839553999,6.12856538919724,6.09246197854656,2.06061658840629,3.10301042363852,2.88330802253043,1.38721728327443,0.038578449931069,0.0320621155000002,0.0260401774883575,0.192892249655345,0.160310577500001,0.130200887441788,0.392665230964649,0.354881805577511,0.253320809046596,1.12497555739888,0.939846182577221,0.885657975948635,0.327321576293698,0.299015551617886,0.198069459280136,5.77446659997013,0.219423129864086
2,0.408887998469079,0.338428190315169,0.27857781051243,0.337735849056604,0.25,0.191241528407728,1.22204735078123,1.21168159544524,0.386517117897394,1.03292234613179,0.874695149041723,0.743586361136017,0.48889237285903,0.402366524452519,0.267085431905158,3.77573812816348,3.78518084116434,1.39104233406234,1.68231580975407,1.38587156692102,1.20374805252149,6.35477202805854,6.4326495318803,1.86729004708908,3.57116416690444,3.33596903426242,1.69603024191937,0.0489022824351496,0.0430319733333333,0.0315133843444394,0.244511412175748,0.215159866666666,0.157566921722197,0.456574153457889,0.44156356315255,0.260709817526889,1.38977126403825,1.17541587071802,0.983292479124831,0.36767731244434,0.357347703367034,0.200077465230961,4.64420850112727,0.114127471798918
